user_id,item_id,timestamp
209,488,0.00034363563478586267
526,837,0.00042519142544940954
192,528,0.00044235422159172175
197,178,0.0004582960422262402
521,635,0.0004782018994894657
118,722,0.0004979228286120672
711,89,0.0005160088467306955
547,21,0.0006891875503724381
618,337,0.0007349163787932581
816,101,0.0008495726535795012
719,541,0.0008832209485957734
71,732,0.0008974118568728366
613,466,0.0009030766462423581
158,450,0.0009151000059360736
777,912,0.0009462516828760337
318,735,0.0011657034250612556
982,826,0.0013289580952000573
162,920,0.0013754759371256105
109,124,0.0017952985724708848
109,911,0.0018158941851008955
668,936,0.001821701864657442
179,931,0.0018904712303979675
110,566,0.0018947288940616843
849,148,0.0021030196834080617
370,488,0.0022850036379144785
954,852,0.002299879432939812
669,677,0.0024861844709851803
913,281,0.0025051846762304754
74,822,0.002616490597468676
168,247,0.0027789307998011313
336,96,0.0030038129158913474
366,775,0.003021066149908005
642,443,0.0030233627217483255
637,436,0.0030387765985764293
703,649,0.0032355227101823606
641,276,0.0032715903451472415
638,176,0.0034202094978508426
68,249,0.003536057849539388
756,65,0.0035570228481133013
136,714,0.003568093847365064
496,892,0.003674607472349011
913,539,0.004076521666000421
264,918,0.004329097607507906
571,626,0.004411604724827909
40,480,0.0044136291266224535
723,449,0.004451427008269912
250,242,0.004611334079950273
189,82,0.004722610701636096
251,653,0.004765498524904495
100,949,0.004789479467039488
595,519,0.004971559955759543
465,475,0.005214801002093069
285,682,0.0052341538793890165
772,983,0.005248230701127035
459,396,0.005536118559437121
431,863,0.00554865325406534
12,42,0.005941991082974987
185,623,0.006022650832041442
552,309,0.006074315123769989
872,269,0.0061052459093821594
76,298,0.006151578282314996
876,670,0.006415995863912547
363,571,0.006461608607428622
188,211,0.0065825818778731246
784,618,0.006614171937839569
267,410,0.006643949218702415
45,426,0.006707653143000828
750,635,0.006730425243653417
118,826,0.006740548285313198
407,567,0.0068439430036855535
173,111,0.007101637366465918
714,702,0.0071783744710361315
339,742,0.007675162511921781
378,730,0.007974458306414531
834,206,0.008109623579589772
249,228,0.008181041167557178
118,373,0.008231627289298563
545,525,0.008307917124187603
422,568,0.008457841344722805
725,772,0.008547708757887174
882,140,0.008661494923856422
47,498,0.009280359557831665
59,26,0.009327183875469946
168,511,0.009550211486428196
576,611,0.00963991190319698
936,672,0.009710239289609016
285,770,0.00977127159489153
222,63,0.009869738443365028
954,783,0.009880269178859844
581,636,0.009915922285294233
9,906,0.010119649169178239
833,105,0.010221713707015582
370,667,0.010394996655880041
793,551,0.010396831905603194
891,627,0.010446651577383635
411,11,0.010878757659374795
526,106,0.010938423730742499
993,816,0.011002559416918847
551,587,0.011042060517312366
30,361,0.01150586453988981
644,763,0.011581330315839501
547,888,0.011586321761137705
135,428,0.011854595612967698
646,880,0.011904155188828744
59,157,0.011952564348942187
310,321,0.0122283993046043
102,974,0.012487913460852719
944,549,0.012528947109488039
667,615,0.012996971653899436
563,994,0.013263901598390032
819,152,0.013273943762646115
924,816,0.01329342127665404
376,590,0.013306173715149278
754,816,0.013307445039114676
142,10,0.013380867265345733
459,936,0.013391148648738879
784,240,0.01343121129987138
500,5,0.013433097638282654
174,203,0.013612362910664377
396,437,0.013768306261275615
997,376,0.013989196863287905
359,495,0.01406984854101644
558,651,0.014176676531386346
222,956,0.014285784497660395
751,157,0.014889886503575126
85,608,0.015021845279494735
874,39,0.015377584520466015
538,713,0.015382065324831036
764,686,0.01543469984185382
421,563,0.015557923541201902
268,64,0.015835111911103823
693,207,0.01602532000244138
651,238,0.016103635554427412
564,581,0.01613340411883757
319,956,0.016472392920141177
513,332,0.016488018543994183
752,916,0.016663408020264454
770,22,0.01674878755956024
181,117,0.01688574858728139
885,576,0.016916070185517666
865,612,0.01713507635550678
44,5,0.017204217010714017
563,692,0.0174600513767844
77,518,0.0174838133911237
492,331,0.017658898064565425
128,505,0.017716295510303105
583,298,0.018015999967296647
180,538,0.01823505399824397
702,105,0.01827788003842243
867,867,0.018469835521170375
479,236,0.01875616347817824
311,114,0.018794613197884974
469,214,0.018982287164345402
286,760,0.019261558180835716
212,285,0.019374477968304004
811,683,0.019386234157030557
24,622,0.019400107536946685
394,802,0.019649359983431907
930,350,0.019822855251549424
393,364,0.01987253259892432
521,559,0.019886991495794714
611,451,0.02013882823937475
527,659,0.02015750459457412
31,388,0.02021264196615308
788,359,0.02049063351834187
833,242,0.020643124817272564
259,607,0.020680315359026046
836,212,0.020727123352959835
